Bar Name,stockout_days | static,lost_ml | static,avg_inv_ml | static,stockout_days | dynamic,lost_ml | dynamic,avg_inv_ml | dynamic
Anderson's Bar,14,2567.4495772956097,10362.721652411046,11,1678.2036296078354,12050.996730881694
Brown's Bar,23,5342.849129658197,9909.890103069685,11,2920.657453889665,12168.56420125299
Johnson's Bar,16,2739.066934922435,10047.790411022346,10,1793.0857058247752,11905.558458737794
Smith's Bar,16,2652.2047838524795,9913.716450332331,10,1560.7544327160329,11790.105443712362
Taylor's Bar,26,4500.604511449636,9619.59681232334,17,2802.8591045792564,11781.203353612025
Thomas's Bar,7,970.5976800086685,9760.224765337742,3,315.7546236328036,12351.266486421331
