Model,MAE (ml/day),RMSE (ml/day),WAPE next-day,Bias next-day,WAPE weekly totals,WAPE lead-time demand (L=2),RMSE lead-time demand
Naive seasonal (t-7),97.52718609234235,203.59716278016057,1.7506271748980153,0.003653021363983143,0.9992734262010708,1.5588283622948762,289.47710579773997
Moving average 7d,92.62436132561133,153.19694062797578,1.6626207572589828,0.005178274763686281,0.6268714404522651,1.4199864389898007,229.9973404196868
Moving average 14d,92.86178521155084,148.59464636064178,1.666882550542981,0.013089916515544095,0.7350545436216808,1.4039752610774263,217.68931363375972
Same-weekday avg (4 wk),93.20017490146397,160.15160120987363,1.6729566946929653,0.007395787138260926,0.8392332119370514,1.4272805718769113,227.83520937758993
Croston-SBA (intermittent),93.62444689949051,144.552036296758,1.6805724387644725,0.01203712369043605,0.8009844134361133,1.411370091737346,206.52765992294815
Holt-Winters (weekly),93.06928181168038,147.23401918773482,1.6706071446940085,0.008816880768150976,0.7568607554312622,1.3986589409288064,210.08372306365817
Linear regression,92.67894938187078,144.1268620176143,1.6636006208082312,-0.013220647131795198,0.7829952163796661,1.398289183740355,205.29607690993438
Random forest,96.2135314786918,145.34711672381508,1.7270468835225488,0.08895846725944329,0.8215454509192304,1.4389658675591805,208.36041746797747
Zero forecast (reference),55.70985501126126,154.50207685203023,1.0,-1.0,1.0,1.0,233.53860792134603
