Lead time (d),Service target,Calibrated Z,"Avg stock (ml, equal)",Stockouts static,Stockouts dynamic,Stockout change,Service static (%),Service dynamic (%),Fill rate dynamic (%)
1,90%,3.844684542236132,54442.206870012255,55.0,101.0,83.63636363636363,95.13704686118479,91.06984969053934,97.1797441175041
1,95%,4.618906434183557,65247.85807469711,25.0,45.0,80.0,97.789566755084,96.0212201591512,98.7145569755662
1,99%,7.070159652523243,99717.90999055971,4.0,4.0,0.0,99.64633068081343,99.64633068081343,99.9071374495252
2,90%,2.835696162074031,57449.6093622506,108.0,123.0,13.88888888888889,90.45092838196287,89.12466843501326,94.4604216751706
2,95%,3.585607479571931,72047.6946746182,59.0,62.0,5.084745762711865,94.78337754199823,94.51812555260831,97.20253781545306
2,99%,5.719849238421098,114264.56723231304,8.0,9.0,12.5,99.29266136162688,99.20424403183024,99.81236174338558
3,90%,2.4582217432654265,61617.59457318099,120.0,136.0,13.333333333333334,89.38992042440319,87.97524314765694,93.48690826289344
3,95%,3.1823318173527486,78662.96710954123,59.0,66.0,11.864406779661017,94.78337754199823,94.16445623342175,96.84781322164335
3,99%,5.159865676266347,126371.25628520896,8.0,8.0,0.0,99.29266136162688,99.29266136162688,99.7867829533566
